add-none,1,10,20,134743,6737,0
add-none,1,20,40,121679,3041,0
add-none,1,40,80,117253,1465,0
add-none,1,80,160,123300,770,0
add-none,1,100,200,133872,669,0
add-none,1,1000,2000,158594,79,0
add-none,1,10000,20000,199708,9,0
add-none,1,100000,200000,805958,4,0
add-none,2,10,40,168529,4213,0
add-none,2,20,80,150945,1886,0
add-none,2,40,160,149495,934,0
add-none,2,80,320,198219,619,0
add-none,2,100,400,195938,489,0
add-none,2,1000,4000,200501,50,0
add-none,2,10000,40000,257873,6,0
add-none,2,100000,400000,835097,2,0
add-none,4,10,80,207873,2598,0
add-none,4,20,160,181209,1132,0
add-none,4,40,320,177258,553,0
add-none,4,80,640,228777,357,0
add-none,4,100,800,197369,246,0
add-none,4,1000,8000,211721,26,0
add-none,4,10000,80000,291725,3,0
add-none,4,100000,800000,711318,0,0
add-none,8,10,160,281689,1760,0
add-none,8,20,320,268242,838,0
add-none,8,40,640,266013,415,0
add-none,8,80,1280,252657,197,0
add-none,8,100,1600,261048,163,0
add-none,8,1000,16000,269525,16,0
add-none,8,10000,160000,298782,1,0
add-none,8,100000,1600000,911809,0,0
add-none,12,10,240,376128,1567,0
add-none,12,20,480,379678,790,0
add-none,12,40,960,392339,408,0
add-none,12,80,1920,368467,191,0
add-none,12,100,2400,374465,156,0
add-none,12,1000,24000,382045,15,0
add-none,12,10000,240000,448470,1,0
add-none,12,100000,2400000,885449,0,0
add-yield-none,1,10,20,132636,6631,0
add-yield-none,1,20,40,188451,4711,0
add-yield-none,1,40,80,142162,1777,0
add-yield-none,1,80,160,131608,822,0
add-yield-none,1,100,200,150299,751,0
add-yield-none,1,1000,2000,134969,67,0
add-yield-none,1,10000,20000,203559,10,0
add-yield-none,1,100000,200000,674609,3,0
add-yield-none,2,10,40,119364,2984,0
add-yield-none,2,20,80,143233,1790,0
add-yield-none,2,40,160,126903,793,0
add-yield-none,2,80,320,157767,493,0
add-yield-none,2,100,400,136075,340,0
add-yield-none,2,1000,4000,136477,34,0
add-yield-none,2,10000,40000,271506,6,0
add-yield-none,2,100000,400000,704292,1,0
add-yield-none,4,10,80,192098,2401,0
add-yield-none,4,20,160,213563,1334,0
add-yield-none,4,40,320,208279,650,0
add-yield-none,4,80,640,181547,283,0
add-yield-none,4,100,800,182490,228,0
add-yield-none,4,1000,8000,195940,24,0
add-yield-none,4,10000,80000,251941,3,0
add-yield-none,4,100000,800000,815063,1,0
add-yield-none,8,10,160,280423,1752,0
add-yield-none,8,20,320,285129,891,0
add-yield-none,8,40,640,286260,447,0
add-yield-none,8,80,1280,285587,223,0
add-yield-none,8,100,1600,283233,177,0
add-yield-none,8,1000,16000,307958,19,0
add-yield-none,8,10000,160000,326375,2,0
add-yield-none,8,100000,1600000,890677,0,0
add-yield-none,12,10,240,398515,1660,0
add-yield-none,12,20,480,371987,774,0
add-yield-none,12,40,960,393167,409,0
add-yield-none,12,80,1920,370210,192,0
add-yield-none,12,100,2400,380432,158,0
add-yield-none,12,1000,24000,377127,15,0
add-yield-none,12,10000,240000,427018,1,0
add-yield-none,12,100000,2400000,997897,0,0
add-m,1,10,20,116130,5806,0
add-m,1,20,40,124551,3113,0
add-m,1,40,80,149021,1862,0
add-m,1,80,160,145200,907,0
add-m,1,100,200,142682,713,0
add-m,1,1000,2000,156748,78,0
add-m,1,10000,20000,168173,8,0
add-m,1,100000,200000,639893,3,0
add-m,2,10,40,163400,4085,0
add-m,2,20,80,142315,1778,0
add-m,2,40,160,128776,804,0
add-m,2,80,320,138090,431,0
add-m,2,100,400,149427,373,0
add-m,2,1000,4000,167413,41,0
add-m,2,10000,40000,191542,4,0
add-m,2,100000,400000,777938,1,0
add-m,4,10,80,184393,2304,0
add-m,4,20,160,178639,1116,0
add-m,4,40,320,198827,621,0
add-m,4,80,640,182862,285,0
add-m,4,100,800,206517,258,0
add-m,4,1000,8000,196016,24,0
add-m,4,10000,80000,235889,2,0
add-m,4,100000,800000,730465,0,0
add-m,8,10,160,299282,1870,0
add-m,8,20,320,277291,866,0
add-m,8,40,640,287369,449,0
add-m,8,80,1280,298154,232,0
add-m,8,100,1600,273920,171,0
add-m,8,1000,16000,310105,19,0
add-m,8,10000,160000,363897,2,0
add-m,8,100000,1600000,803928,0,0
add-m,12,10,240,388501,1618,0
add-m,12,20,480,413992,862,0
add-m,12,40,960,427003,444,0
add-m,12,80,1920,375279,195,0
add-m,12,100,2400,376291,156,0
add-m,12,1000,24000,401961,16,0
add-m,12,10000,240000,410756,1,0
add-m,12,100000,2400000,918809,0,0
add-s,1,10,20,128695,6434,0
add-s,1,20,40,113258,2831,0
add-s,1,40,80,136841,1710,0
add-s,1,80,160,144417,902,0
add-s,1,100,200,142346,711,0
add-s,1,1000,2000,140940,70,0
add-s,1,10000,20000,193324,9,0
add-s,1,100000,200000,707487,3,0
add-s,2,10,40,137075,3426,0
add-s,2,20,80,844903,10561,0
add-s,2,40,160,128567,803,0
add-s,2,80,320,131426,410,0
add-s,2,100,400,122607,306,0
add-s,2,1000,4000,161092,40,0
add-s,2,10000,40000,214755,5,0
add-s,2,100000,400000,778619,1,0
add-s,4,10,80,212386,2654,0
add-s,4,20,160,187905,1174,0
add-s,4,40,320,191577,598,0
add-s,4,80,640,187212,292,0
add-s,4,100,800,188296,235,0
add-s,4,1000,8000,207699,25,0
add-s,4,10000,80000,245043,3,0
add-s,4,100000,800000,725697,0,0
add-s,8,10,160,292644,1829,0
add-s,8,20,320,277653,867,0
add-s,8,40,640,282439,441,0
add-s,8,80,1280,276063,215,0
add-s,8,100,1600,283426,177,0
add-s,8,1000,16000,296032,18,0
add-s,8,10000,160000,324903,2,0
add-s,8,100000,1600000,797536,0,0
add-s,12,10,240,378775,1578,0
add-s,12,20,480,372768,776,0
add-s,12,40,960,358453,373,0
add-s,12,80,1920,366206,190,0
add-s,12,100,2400,381902,159,0
add-s,12,1000,24000,371244,15,0
add-s,12,10000,240000,429211,1,0
add-s,12,100000,2400000,957524,0,0
add-c,1,10,20,136848,6842,0
add-c,1,20,40,140864,3521,0
add-c,1,40,80,137882,1723,0
add-c,1,80,160,136253,851,0
add-c,1,100,200,116085,580,0
add-c,1,1000,2000,123596,61,0
add-c,1,10000,20000,176505,8,0
add-c,1,100000,200000,730455,3,0
add-c,2,10,40,137732,3443,0
add-c,2,20,80,135802,1697,0
add-c,2,40,160,139628,872,0
add-c,2,80,320,138165,431,0
add-c,2,100,400,135105,337,0
add-c,2,1000,4000,153156,38,0
add-c,2,10000,40000,171052,4,0
add-c,2,100000,400000,645776,1,0
add-c,4,10,80,185747,2321,0
add-c,4,20,160,185064,1156,0
add-c,4,40,320,186941,584,0
add-c,4,80,640,194858,304,0
add-c,4,100,800,181844,227,0
add-c,4,1000,8000,198499,24,0
add-c,4,10000,80000,213558,2,0
add-c,4,100000,800000,784239,0,0
add-c,8,10,160,267283,1670,0
add-c,8,20,320,270741,846,0
add-c,8,40,640,255780,399,0
add-c,8,80,1280,267925,209,0
add-c,8,100,1600,266611,166,0
add-c,8,1000,16000,277157,17,0
add-c,8,10000,160000,322046,2,0
add-c,8,100000,1600000,887619,0,0
add-c,12,10,240,362642,1511,0
add-c,12,20,480,364600,759,0
add-c,12,40,960,368959,384,0
add-c,12,80,1920,370481,192,0
add-c,12,100,2400,363870,151,0
add-c,12,1000,24000,362026,15,0
add-c,12,10000,240000,405161,1,0
add-c,12,100000,2400000,890238,0,0
add-yield-m,1,1000,2000,119665,59,0
add-yield-m,1,10000,20000,177587,8,0
add-yield-m,1,100000,200000,724282,3,0
add-yield-m,2,1000,4000,145370,36,0
add-yield-m,2,10000,40000,197765,4,0
add-yield-m,2,100000,400000,775524,1,0
add-yield-m,4,1000,8000,191961,23,0
add-yield-m,4,10000,80000,247457,3,0
add-yield-m,4,100000,800000,721942,0,0
add-yield-m,8,1000,16000,282938,17,0
add-yield-m,8,10000,160000,331757,2,0
add-yield-m,8,100000,1600000,776303,0,0
add-yield-m,12,1000,24000,375200,15,0
add-yield-m,12,10000,240000,423006,1,0
add-yield-m,12,100000,2400000,864553,0,0
add-yield-s,1,1000,2000,141201,70,0
add-yield-s,1,10000,20000,188115,9,0
add-yield-s,1,100000,200000,665483,3,0
add-yield-s,2,1000,4000,124349,31,0
add-yield-s,2,10000,40000,193240,4,0
add-yield-s,2,100000,400000,734121,1,0
add-yield-s,4,1000,8000,189415,23,0
add-yield-s,4,10000,80000,246804,3,0
add-yield-s,4,100000,800000,808091,1,0
add-yield-s,8,1000,16000,285277,17,0
add-yield-s,8,10000,160000,333668,2,0
add-yield-s,8,100000,1600000,799186,0,0
add-yield-s,12,1000,24000,357813,14,0
add-yield-s,12,10000,240000,404055,1,0
add-yield-s,12,100000,2400000,883843,0,0
add-yield-c,1,1000,2000,142286,71,0
add-yield-c,1,10000,20000,196304,9,0
add-yield-c,1,100000,200000,672214,3,0
add-yield-c,2,1000,4000,122646,30,0
add-yield-c,2,10000,40000,196795,4,0
add-yield-c,2,100000,400000,736845,1,0
add-yield-c,4,1000,8000,187565,23,0
add-yield-c,4,10000,80000,269443,3,0
add-yield-c,4,100000,800000,834454,1,0
add-yield-c,8,1000,16000,357911,22,0
add-yield-c,8,10000,160000,357994,2,0
add-yield-c,8,100000,1600000,828660,0,0
add-yield-c,12,1000,24000,381514,15,0
add-yield-c,12,10000,240000,449193,1,0
add-yield-c,12,100000,2400000,881802,0,0
